Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band247_1614nm,band247,1614nm,1614,diff,1000,0.1486185625709493,0.001,0.03701950393714491,0.01234338258980685,9.041205506014432,9.99000999000999e-4,0.9723679357172658,0.7224290148454171,-1.1402495694647308,diff,0.15,0.1486185625709493
band248_1619nm,band248,1619nm,1619,diff,1000,0.15158051476439274,0.001,0.03673778545335802,0.01275399608446096,9.004450726698531,9.99000999000999e-4,0.9919908795478374,0.7305091373436036,-1.1504446992127737,diff,0.15,0.15158051476439274
band249_1624nm,band249,1624nm,1624,diff,1000,0.15386375141833156,0.001,0.03706706402128536,0.01173746187912013,9.950761808634011,0.00199800199800199,0.9789722471702128,0.7633197193454889,-1.0809474389832,diff,0.15,0.15386375141833156
band250_1629nm,band250,1629nm,1629,diff,1000,0.1541934892419382,0.001,0.03715553445749848,0.01233970164314763,9.484666499163868,9.99000999000999e-4,1.0196871071144344,0.7422272857578196,-1.166076260574038,diff,0.15,0.1541934892419382
band251_1634nm,band251,1634nm,1634,diff,1000,0.15337792483854357,0.001,0.03648798199451868,0.01235892660811318,9.45793648190215,0.00299700299700299,1.0536009396851196,0.8627932389113706,-1.0433820923103574,diff,0.15,0.15337792483854357
band252_1639nm,band252,1639nm,1639,diff,1000,0.15593783647501355,0.001,0.03771207523995495,0.01274339227521934,9.27741677268768,0.00199800199800199,1.0094672519535033,0.781252669554916,-1.0925139186593118,diff,0.15,0.15593783647501355
band253_1644nm,band253,1644nm,1644,diff,1000,0.155691652282982,0.001,0.03654698469635573,0.01191613950757923,9.998596232516794,0.00199800199800199,0.9803605296919736,0.7468657840289491,-1.1041727912079942,diff,0.15,0.155691652282982
band254_1649nm,band254,1649nm,1649,diff,1000,0.15472968895942027,0.001,0.03575441414526723,0.01239678617218581,9.597267643535972,9.99000999000999e-4,1.0295506484045185,0.7541427273885283,-1.1600204148019282,diff,0.15,0.15472968895942027
band255_1654nm,band255,1654nm,1654,diff,1000,0.15692684736657916,0.001,0.03676530387395793,0.01259058085377475,9.54376488965526,9.99000999000999e-4,0.9644063393169532,0.6856466177691557,-1.1776904764404996,diff,0.15,0.15692684736657916
band256_1659nm,band256,1659nm,1659,diff,1000,0.1577405994964934,0.001,0.03686849351509334,0.01204225965408101,10.037327665529752,0.00199800199800199,1.0064595364912474,0.7686041282758009,-1.104234163949488,diff,0.15,0.1577405994964934
band257_1664nm,band257,1664nm,1664,diff,1000,0.15630490466882194,0.001,0.03702113777546333,0.01186602506615642,10.052546343726569,9.99000999000999e-4,1.0048739684059766,0.7555598901091013,-1.1230996706490377,diff,0.15,0.15630490466882194
band258_1669nm,band258,1669nm,1669,diff,1000,0.15827617087418397,0.001,0.03678062559080559,0.01218327457057636,9.972322677254631,9.99000999000999e-4,0.9942264574433568,0.7512343494962138,-1.1127689876398363,diff,0.15,0.15827617087418397
band259_1674nm,band259,1674nm,1674,diff,1000,0.158051394724108,0.001,0.03676026078181391,0.01183881697177449,10.24520728983903,9.99000999000999e-4,0.9914393020128672,0.7737323587856537,-1.0771010128059433,diff,0.15,0.158051394724108
band260_1679nm,band260,1679nm,1679,diff,1000,0.15739532252100352,0.001,0.03661227519605999,0.01202958670631495,10.04049850370489,9.99000999000999e-4,1.0230683406199763,0.761374707222642,-1.1369868343233944,diff,0.15,0.15739532252100352
band261_1684nm,band261,1684nm,1684,diff,1000,0.15658597173504302,0.001,0.03722599073036911,0.01228119413301065,9.71892307148259,9.99000999000999e-4,1.0122129585995518,0.7278504332467299,-1.175553311204068,diff,0.15,0.15658597173504302
band262_1689nm,band262,1689nm,1689,diff,1000,0.15606315277350488,0.001,0.03616551751682785,0.01223362959645756,9.800659265619355,9.99000999000999e-4,0.9892991017157954,0.7025420204206637,-1.1860300519011957,diff,0.15,0.15606315277350488
band263_1694nm,band263,1694nm,1694,diff,1000,0.15332257972207008,0.001,0.03691008897369596,0.01221296271349398,9.531879649460578,0.00299700299700299,1.0283013404984604,0.8210381038235162,-1.0656981164475514,diff,0.15,0.15332257972207008
band264_1699nm,band264,1699nm,1699,diff,1000,0.15369402171503496,0.001,0.03710330755057259,0.0123793522617642,9.418159504562546,0.00199800199800199,1.0685924606656905,0.8240807134202682,-1.110204891403728,diff,0.15,0.15369402171503496
band265_1704nm,band265,1704nm,1704,diff,1000,0.1534872779679186,0.001,0.03686717551964653,0.01251261246487317,9.320204136079596,0.00199800199800199,1.0309872694416675,0.8262890125160539,-1.0619770784580052,diff,0.15,0.1534872779679186
band266_1709nm,band266,1709nm,1709,diff,1000,0.150894482959623,0.001,0.03685575077018508,0.012229854855140561,9.324618610784585,9.99000999000999e-4,0.984742071205188,0.7308253999991734,-1.1409668961239008,diff,0.15,0.150894482959623
band267_1714nm,band267,1714nm,1714,diff,1000,0.14985994885613746,0.001,0.03773360926251595,0.01247232939919167,8.990007881036908,9.99000999000999e-4,0.9788946061277388,0.6985412535765856,-1.1868084426322418,diff,0.15,0.14985994885613746
band268_1719nm,band268,1719nm,1719,diff,1000,0.14802826388194826,0.001,0.03643012773016419,0.01151297116690609,9.693252465755466,9.99000999000999e-4,1.0398786608608055,0.7524352717528895,-1.185285207192884,diff,0.15,0.14802826388194826
band269_1724nm,band269,1724nm,1724,diff,1000,0.1456214596387145,0.001,0.03757902583183457,0.01248081615273329,8.656680178981619,9.99000999000999e-4,1.0224399602850094,0.7229884150072301,-1.2127697794957426,diff,0.15,0.1456214596387145
